name,description,category,url,scraped_at
CodeRabbit,Supercharge your entire team with AI-driven contextual feedback,ai-assisted,https://github.com/marketplace/coderabbitai,2025-10-22T05:40:03.603598
Builder.io Integration,Connect AI-Powered Visual Editing to any Github repo,ai-assisted,https://github.com/marketplace/builder-io-integration,2025-10-22T05:40:03.773243
Gemini Code Assist,Bring the power of Gemini to the pull request process,ai-assisted,https://github.com/marketplace/gemini-code-assist,2025-10-22T05:40:03.901819
PerplexityAI,Perplexity answers questions as you code by searching the web,ai-assisted,https://github.com/marketplace/perplexityai,2025-10-22T05:40:04.032462
Docker for GitHub Copilot,"Learn about containerization, generate Docker assets and analyze project vulnerabilities in GitHub Copilot",ai-assisted,https://github.com/marketplace/docker-for-github-copilot,2025-10-22T05:40:04.208277
Models (GitHub),Copilot Extension to connect and chat with GitHub Models,ai-assisted,https://github.com/marketplace/models-github,2025-10-22T05:40:04.397726
Stack Overflow,Get answers to your most complex coding questions right where you’re already working,ai-assisted,https://github.com/marketplace/stack-overflow-extension-for-github-copilot,2025-10-22T05:40:04.584155
Qodo,AI Code Review for Enterprise. Qodo assist developers and engineering teams accelerate and improve code reviews,ai-assisted,https://github.com/marketplace/qodo-merge-pro,2025-10-22T05:40:04.736190
Mermaid Chart,Provides advanced and powerful diagramming and visualization to GitHub Copilot Chat,ai-assisted,https://github.com/marketplace/mermaid-chart,2025-10-22T05:40:04.885840
ChartDB,Database diagrams editor with AI that allows you to visualize and design your DB with a single query,ai-assisted,https://github.com/marketplace/chartdb,2025-10-22T05:40:05.064777
Engine Labs,Turn issues into AI generated PRs,ai-assisted,https://github.com/marketplace/engine-labs,2025-10-22T05:40:05.232556
Bito's AI Code Review Agent,"Contextual feedback, summaries, and 1-click suggestions in every PR",ai-assisted,https://github.com/marketplace/bito-s-ai-code-review-agent,2025-10-22T05:40:05.400214
Microsoft 365 Agents Toolkit,Chats with GitHub Copilot extension for Microsoft 365 Agents Toolkit to build applications and agents for Microsoft 365,ai-assisted,https://github.com/marketplace/teamsapp,2025-10-22T05:40:05.567708
What The Diff,Your AI-powered code review assistant,ai-assisted,https://github.com/marketplace/what-the-diff,2025-10-22T05:40:05.745184
GitBook for GitHub Copilot,"Leverage your GitBook documentation to answer questions, providing instant responses in your workflow",ai-assisted,https://github.com/marketplace/gitbook-for-github-copilot,2025-10-22T05:40:05.877423
Sweep AI,An AI junior dev. Transform bug reports & feature requests into pull requests seamlessly by providing a description,ai-assisted,https://github.com/marketplace/sweep-ai,2025-10-22T05:40:06.053756
Fine AI,AI-powered Pull Requests Companion,ai-assisted,https://github.com/marketplace/fine-ai,2025-10-22T05:40:06.232161
ChatGPTBot,ChatGPT Github App,ai-assisted,https://github.com/marketplace/chatgptbot,2025-10-22T05:40:06.413559
ReadMe API,"Ask questions about the ReadMe API and get help with code, directly in VS code",ai-assisted,https://github.com/marketplace/readme-api,2025-10-22T05:40:06.589338
Issue-Label Bot,Automatically label GitHub Issues with machine learning,ai-assisted,https://github.com/marketplace/issue-label-bot,2025-10-22T05:40:06.759859
Agentic Search Ai,This extension leverages the power of agentic systems to enhance your coding experience. Agentic systems are intelligent ent,ai-assisted,https://github.com/marketplace/agentic-search-ai,2025-10-22T05:40:08.394465
Product Science,Get help with performance optimization techniques to make your code faster,ai-assisted,https://github.com/marketplace/productscience-app,2025-10-22T05:40:08.572759
Metabob-app,AI-powered code review and analysis tool for Python,ai-assisted,https://github.com/marketplace/metabob-app,2025-10-22T05:40:08.756158
UnfoldAI,"Use AI-powered Error Diagnosis, Code Edits, Explanations, Bug/Error Solutions and Chat in Visual Studio Code",ai-assisted,https://github.com/marketplace/unfoldai,2025-10-22T05:40:08.857235
Amazon Q Developer,"Your AI assistant for feature development, code reviews, and Java transformations",ai-assisted,https://github.com/marketplace/amazon-q-developer,2025-10-22T05:40:08.935122
Sentry for GitHub Copilot,The Sentry Copilot Extension allows developers to fix broken code from the GitHub UI,ai-assisted,https://github.com/marketplace/sentry-github-copilot-extension,2025-10-22T05:40:09.110329
CodeAnt AI,"AI-Powered Code Reviews, Quality, and Security — All in One Platform",ai-assisted,https://github.com/marketplace/codeant-ai,2025-10-22T05:40:09.291504
"Exalate AI-Assisted Two-Way Issue Sync [Jira, ServiceNow, Azure DevOps, Zendesk, Salesforce & More]",Don't be confined by only no-code integration apps. Set up an integration with the help of scripts across Github &other tools,ai-assisted,https://github.com/marketplace/exalate-issue-sync,2025-10-22T05:40:09.478921
Atlassian Rovo,Atlassian Rovo for GitHub Copilot brings your company’s knowledge to your code,ai-assisted,https://github.com/marketplace/atlassian,2025-10-22T05:40:09.664565
Keypup,Scale a High Performing Engineering Team with Development Intelligence,ai-assisted,https://github.com/marketplace/keypup-assistant,2025-10-22T05:40:09.835615
DataStax,Chat with your data! Write queries and code with natural language,ai-assisted,https://github.com/marketplace/datastax-astra-db-copilot-plugin,2025-10-22T05:40:10.002390
GitGab Bot,Connect your Github repos to ChatGPT,ai-assisted,https://github.com/marketplace/gitgab-bot,2025-10-22T05:40:10.169204
Grit App,Software maintenance on autopilot,ai-assisted,https://github.com/marketplace/grit-app,2025-10-22T05:40:10.346382
Keploy,AI that writes VALIDATED UNIT TESTS right inside your GitHub PRs—saving 80% of your testing time,ai-assisted,https://github.com/marketplace/keploy,2025-10-22T05:40:10.517728
Octopus for GitHub Copilot,The Octopus extension allows a cloud hosted Octopus instance to be queried via the GitHub Copilot chat interface,ai-assisted,https://github.com/marketplace/octopus-github-copilot-extension,2025-10-22T05:40:10.689447
Tara AI,Collaborate as a team from requirement to release in one platform. Syncs to Github issues & your entire workflow in real-time,ai-assisted,https://github.com/marketplace/tara-ai,2025-10-22T05:40:10.866695
Traycer AI,Complex Code Changes Made Simple,ai-assisted,https://github.com/marketplace/traycer-ai,2025-10-22T05:40:10.971721
LambdaTest,"Design, implement and analyze test automation right where you code",ai-assisted,https://github.com/marketplace/lambdatest,2025-10-22T05:40:11.157605
Gru Agent,Test Gru provides enterprise-level unit test automation services for clients,ai-assisted,https://github.com/marketplace/gru-agent,2025-10-22T05:40:11.339612
http-fetch by ReadMe,Make http requests by chatting,ai-assisted,https://github.com/marketplace/http-fetch-by-readme,2025-10-22T05:40:11.525190
Pinecone AI,Developers can leverage this app to gain crucial context or build AI applications with vector databases,ai-assisted,https://github.com/marketplace/pinecone-ai,2025-10-22T05:40:13.013310
Spice.ai for GitHub Copilot,"Chat with repositories, external databases, data warehouses, and data lakes directly in GitHub Copilot",ai-assisted,https://github.com/marketplace/spice-ai-for-github-copilot,2025-10-22T05:40:13.189208
New Relic Copilot Extension,"New Relic AI-powered insights for app performance, monitoring, and deployment optimization",ai-assisted,https://github.com/marketplace/newrelic-copilot-extension,2025-10-22T05:40:13.360178
patched.codes,"Workflows for code reviews, docs and patches",ai-assisted,https://github.com/marketplace/patched-codes,2025-10-22T05:40:13.543917
devloai,"AI Productivity Platform. Assign tickets, tasks, code reviews and track team productivity. Responds to @devloai",ai-assisted,https://github.com/marketplace/devloai,2025-10-22T05:40:13.718222
DeepWiki,Unlock rich insights about any codebase in minutes,ai-assisted,https://github.com/marketplace/komment-docs,2025-10-22T05:40:13.886544
LaunchDarkly for GitHub Copilot,"The LaunchDarkly Copilot Extension, available under @launchdarkly-app",ai-assisted,https://github.com/marketplace/launchdarkly-copilot-extension,2025-10-22T05:40:13.963750
CodiumAI PR Agent (Free),"A hosted deployment of PR-Agent, aiming to help developers review pull requests faster and more efficiently",ai-assisted,https://github.com/marketplace/codiumai-pr-agent,2025-10-22T05:40:14.124610
ChatCody,"Efficient code review made easy with a GPT-based chat bot for pull requests. Streamline the process, save time, and deliver h",ai-assisted,https://github.com/marketplace/chatcody,2025-10-22T05:40:14.227062
JFrog for GitHub Copilot,"Get version, security, compliance & other package insights, tailored to your company, without leaving your coding workflow",ai-assisted,https://github.com/marketplace/jfrog,2025-10-22T05:40:14.374681
Bright Security,Bright is a powerful dynamic App & API security testing (DAST) platform that security teams trust and developers love,ai-assisted,https://github.com/marketplace/nexploit-app,2025-10-22T05:40:14.522337
CodeReviewBot.AI,Get AI Expert Suggestions for Every Pull Request,ai-assisted,https://github.com/marketplace/review-gpt,2025-10-22T05:40:14.668248
Arm for GitHub Copilot,Learn how to develop better software on Arm servers in GitHub Copilot,ai-assisted,https://github.com/marketplace/arm-for-github-copilot,2025-10-22T05:40:14.837465
Prisma for GitHub Copilot,"Get fast, accurate answers about Prisma without leaving your IDE",ai-assisted,https://github.com/marketplace/prisma-for-github-copilot,2025-10-22T05:40:14.925691
LlamaPReview,"Evidence-based, context-aware AI Code reviewer – zero config, fully automated (Currently Total Free)",ai-assisted,https://github.com/marketplace/llamapreview,2025-10-22T05:40:15.008569
Neon Postgres,Chat with the latest Neon docs,ai-assisted,https://github.com/marketplace/neon-database,2025-10-22T05:40:15.086178
Baz AI Code Review,"AI agents that learn from past reviews to guide code review, surface risks, and help your team merge with confidence",ai-assisted,https://github.com/marketplace/baz-review,2025-10-22T05:40:15.231086
Code search by Quod AI,Find the code you need faster,ai-assisted,https://github.com/marketplace/quod-ai-app,2025-10-22T05:40:15.392444
Speakeasy API,Automatically create language-idiomatic SDKs from your API specification,ai-assisted,https://github.com/marketplace/speakeasy-api,2025-10-22T05:40:15.552501
CodeFlash AI,Optimize the performance of your Python code automatically with AI,ai-assisted,https://github.com/marketplace/codeflash-ai,2025-10-22T05:40:15.711767
PolyAPI,"PolyAPI is an enterprise platform for developing, running, and managing integrations, orchestrations, and microservices",ai-assisted,https://github.com/marketplace/polyapi,2025-10-22T05:40:17.091058
Code Review AI,AI-powered code checking and improvement suggestions right in your pull requests,ai-assisted,https://github.com/marketplace/code-review-ai,2025-10-22T05:40:17.186067
Deployment.io,Simple and powerful AI-powered DevOps & SRE assistant that saves time and enhances developer experience,ai-assisted,https://github.com/marketplace/deployment-io,2025-10-22T05:40:17.325889
CleanThat,Automatic cleaning of code,ai-assisted,https://github.com/marketplace/cleanthat,2025-10-22T05:40:17.490395
Crowdbotics for GitHub Copilot,Increase the accuracy of Copilot's code suggestions by referencing context-aware project specifications in Crowdbotics,ai-assisted,https://github.com/marketplace/crowdbotics-for-github-copilot,2025-10-22T05:40:17.657744
Sliteteam,"Seamlessly syncing GitHub and Slite. Unfurl, and synchronize GitHub issues and PR within your AI-powered Slite knowledge base",ai-assisted,https://github.com/marketplace/sliteteam,2025-10-22T05:40:17.798167
WithMaverick,The AI code reviewer,ai-assisted,https://github.com/marketplace/withmaverick,2025-10-22T05:40:17.863025
OctaPHP,"A lightweight PHP framework designed for complex web algorithm, highly customizable and extensible",ai-assisted,https://github.com/marketplace/octaphp,2025-10-22T05:40:17.963045
Telegram Sender Extension,Use Telegram Sender extension to connect your customer on Telegram and grow you business now,ai-assisted,https://github.com/marketplace/telegram-sender-extension,2025-10-22T05:40:18.061747
GitAuto AI,AI Software Engineer for Backend,ai-assisted,https://github.com/marketplace/gitauto-ai,2025-10-22T05:40:18.215310
SQL Auto Optimization - Postgres/MySQL/MariaDB/Aurora,"Automatic SQL Optimization, Automatic SQL profiler, SQL performance linter, Optimization API for SQL, Postgres/MySQL/MariaDB",ai-assisted,https://github.com/marketplace/sql-auto-optimization-postgres-mysql-mariadb-aurora,2025-10-22T05:40:18.374065
AI Release Notes,Release notes generated using the commit history in a PR and AI,ai-assisted,https://github.com/marketplace/ai-github-release-notes,2025-10-22T05:40:18.510637
watchman-pypi,"A bot, which continuously monitors dependency conflicts for millions of Python libraries in PyPI ecosystem",ai-assisted,https://github.com/marketplace/watchman-pypi,2025-10-22T05:40:18.569367
DeepDocs AI,Fix Outdated Docs Automatically With Your Changing Codebase,ai-assisted,https://github.com/marketplace/deepdocsai,2025-10-22T05:40:18.651738
Qodo for Open Source,"Qodo Merge is the enterprise edition of PR-Agent, aiming to help developers and managers review pull requests",ai-assisted,https://github.com/marketplace/qodo-merge-pro-for-open-source,2025-10-22T05:40:18.760067
Packfiles Warp,"GitHub Migrations, Lightning Fast ⚡️",ai-assisted,https://github.com/marketplace/packfiles-warp,2025-10-22T05:40:18.889372
Penify.dev,Automate Software Documentation of your Git Repository using LLMs,ai-assisted,https://github.com/marketplace/snorkell-ai,2025-10-22T05:40:18.972241
Carta API,"The Carta Copilot extension lets you ask questions about the Carta API and get help with code, directly in VS code",ai-assisted,https://github.com/marketplace/carta-api,2025-10-22T05:40:19.073039
Hyperlint AI,AI Copilot for Technical Writing and Documentation,ai-assisted,https://github.com/marketplace/hyperlint-ai,2025-10-22T05:40:19.165404
xpander.ai,"The AI Agent platform for production-grade agents. Equip agents with state, tools, user management, and more",ai-assisted,https://github.com/marketplace/xpander-ai,2025-10-22T05:40:19.225830
PR Explainer Bot,GitHub bot that automatically analyses and explain pull requests when they are created,ai-assisted,https://github.com/marketplace/pr-explainer-bot,2025-10-22T05:40:20.739200
Swimm for GitHub Copilot,Generate documentation from Copilot chat that stays up to date automatically,ai-assisted,https://github.com/marketplace/swimm-for-github-copilot,2025-10-22T05:40:20.919487
deephaven,A documentation and coding assistant for Deephaven,ai-assisted,https://github.com/marketplace/deephaven,2025-10-22T05:40:21.101503
TestAzureML,For integrating Github and AzureML,ai-assisted,https://github.com/marketplace/testazureml,2025-10-22T05:40:21.227553
CodeConverse AI,"Indexes Github repositories so you can conveniently find, read and write code from ChatGPT",ai-assisted,https://github.com/marketplace/codeconverse-ai,2025-10-22T05:40:21.398107
